category,title,description,price,quantity,detail,images
Suitcases & Bags,Rev,"Retinal hemorrhage, left eye",100,20,Pink,/home/cyber_mizdav/Pictures/store1.jpg
House Garden,Mr,Symptomatic premature menopause,100,20,Violet,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Mrs,Other nondisplaced fracture of fourth cervical vertebra,100,20,Puce,/home/cyber_mizdav/Pictures/store_banner.jpg
Books,Dr,Non-pressure chronic ulcer of right heel and midfoot limited to breakdown of skin,100,20,Violet,/home/cyber_mizdav/Pictures/store1.jpg
Books,Rev,Displaced avulsion fracture (chip fracture) of left talus,100,20,Orange,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Honorable,"Fusion of spine, lumbar region",100,20,Puce,/home/cyber_mizdav/Pictures/DATA.jpg
Accessories,Rev,"Unspecified injury of left vertebral artery, subsequent encounter",100,20,Aquamarine,/home/cyber_mizdav/Pictures/DATA.jpg
Electronics,Dr,"Unspecified juvenile osteochondrosis, unspecified hand",100,20,Pink,/home/cyber_mizdav/Pictures/DATA.jpg
Books,Rev,"Salter-Harris Type II physeal fracture of upper end of humerus, unspecified arm, subsequent encounter for fracture with nonunion",100,20,Green,/home/cyber_mizdav/Pictures/store1.jpg
Electronics,Mrs,"Nondisplaced comminuted fracture of shaft of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",100,20,Teal,/home/cyber_mizdav/Pictures/store_banner.jpg
Suitcases & Bags,Rev,"Unspecified nondisplaced fracture of surgical neck of unspecified humerus, subsequent encounter for fracture with nonunion",100,20,Aquamarine,/home/cyber_mizdav/Pictures/store_banner.jpg
House Garden,Honorable,"Pedestrian injured in nontraffic accident involving unspecified motor vehicles, initial encounter",100,20,Green,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Ms,Spastic hemiplegia affecting right dominant side,100,20,Violet,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Ms,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 2",100,20,Puce,/home/cyber_mizdav/Pictures/store1.jpg
Books,Mr,"Nondisplaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for closed fracture with nonunion",100,20,Maroon,/home/cyber_mizdav/Pictures/store_banner.jpg
Electronics,Rev,Gonococcal spondylopathy,100,20,Pink,/home/cyber_mizdav/Pictures/store1.jpg
Books,Ms,"Laceration without foreign body of unspecified lesser toe(s) with damage to nail, subsequent encounter",100,20,Maroon,/home/cyber_mizdav/Pictures/store_banner.jpg
Electronics,Mr,"Unspecified superficial injury of right ankle, sequela",100,20,Teal,/home/cyber_mizdav/Pictures/DATA.jpg
Suitcases & Bags,Ms,"Contact with sharp glass, undetermined intent, sequela",100,20,Mauv,/home/cyber_mizdav/Pictures/store1.jpg
Suitcases & Bags,Rev,"Complete traumatic amputation at unspecified hip joint, initial encounter",100,20,Teal,/home/cyber_mizdav/Pictures/store_banner.jpg
Accessories,Rev,Disorders of visual cortex in (due to) neoplasm,100,20,Green,/home/cyber_mizdav/Pictures/store_banner.jpg
Men's Clothing,Honorable,"Other specified fracture of right ischium, subsequent encounter for fracture with nonunion",100,20,Puce,/home/cyber_mizdav/Pictures/store1.jpg
